Название АК;Сайт
ITA Airways;https://www.ita-airways.com/it_it
Air Seychelles;https://www.airseychelles.com/
Flynas;https://www.flynas.com/en
ЮВТ Аэро;https://uvtaero.ru/
Royal Air Maroc;https://www.royalairmaroc.com/
Россия;https://www.rossiya-airlines.ru/
Israir Airlines;https://www.israirairlines.com/
Sky Express;https://www.skyexpress.gr/en
Vueling Airlines;https://www.vueling.com/en
Copa Airlines;https://www.copaair.com/
Tianjin Airlines;https://www.tianjin-air.com/
КрасАвиа;https://www.krasavia.ru/
Air Mauritius;https://www.airmauritius.com/
Air Serbia;https://www.airserbia.com/ru
Armenian Airlines;https://armenianairlines.am/ru/
Spring Airlines;https://en.ch.com/
Ajet;https://ajet.com/
Sichuan Airlines;https://www.sichuanair.com/
SunExpress;https://www.sunexpress.com/
Juneyao Airlines;https://global.juneyaoair.com/
Batik Air;https://www.batikair.com/
United Airlines;https://www.united.com/
Air Algerie;https://airalgerie.dz/
Transavia France;https://www.transavia.com/
Hainan Airlines;https://www.hainanairlines.com/
Cebu Pacific;https://www.cebupacificair.com/
Bamboo Airways;https://www.bambooairways.com/
Etihad Airways;https://www.etihad.com/
Corendon Airlines;https://www.corendonairlines.com/
VietJet Air;https://www.vietjetair.com/
Air China;https://ru.airchina.com
FlyKhiva;https://flykhiva.uz/
Oman Air;https://www.omanair.com/
TAP Portugal;https://www.flytap.com/
Eurowings;https://www.eurowings.com/en.html
Frenchbee;https://www.frenchbee.com/
Finnair;https://www.finnair.com/
SWISS;https://www.swiss.com/xx/ru
Air France;https://russia.airfrance.com/
KLM;https://russia.klm.com/
SmartWings;https://www.smartwings.com/ru/
Aegean Airlines;https://ru.aegeanair.com/
Austrian Airlines;https://www.austrian.com/
AZAL / Azerbaijan Airlines / АЗАЛ;https://www.azal.az/ru/
Centrum Air;https://www.centrum-air.com/ru
Qatar;https://www.qatarairways.com/en/homepage.html
Uzbekistan Airways + Assisted;https://www.uzairways.com/ru
Aviatraffic;https://www.aero.kg/
Rusline/Руслайн;https://www.rusline.aero/
FlyOne;https://flyone.eu/ru/
IndiGo;https://www.goindigo.in/
Ижавиа;https://izhavia.su/
Cyprus Airways;https://www.cyprusairways.com/
EastarJet ;https://www.eastarjet.com
Lufthansa;https://www.lufthansa.com/
Smartavia/Nordavia;https://flysmartavia.com/
Аэрофлот;https://www.aeroflot.ru/ru-ru
SCAT Airlines ;https://www.scat.kz/ru/
Fly UIA;https://www.flyuia.com/
SkyUP ;https://skyup.aero/uk/ 
Air Dilijans (бывшая Armenia);https://airdilijans.com/ru
Jetstar;https://www.jetstar.com/
Ural Airlines/Уральские авиалинии;https://www.uralairlines.ru/
Ethiopian Airlines;https://www.ethiopianairlines.com/
Azur Air;https://www.azurair.ru/
АК Якутия / Yakutia;https://www.yakutia.aero/
Red Wings;https://flyredwings.com/
Pegasus Airlines;https://www.flypgs.com/ru
Nok Air;"https://www.nokair.com/
"
Belavia;https://belavia.by/
AirAsia;https://www.airasia.com/en/gb
Turkish Airlines/Туркиш Эирлайнс;https://www.turkishairlines.com/
Алроса;https://www.alrosa.ru/
iFly;https://iflyltd.ru/
Georgian Airways;https://georgian-airways.com/ru
Aurora;https://www.flyaurora.ru/ 
Air Arabia;https://www.airarabia.com/rub
Qazaq Air;https://www.flyqazaq.com/
Shirak Avia/Ширак Авиа;https://shirakavia.am/ru
AirBaltic;https://www.airbaltic.com/
Wizz Air;https://wizzair.com/
Utair/Ютеир;https://www.utair.ru/
HISKY;https://hisky.aero/en/
Nordwind;https://nordwindairlines.ru/ru
FlyArystan ;https://flyarystan.com/en 
Angara (Ангара);https://angara.aero/
EasyJet;https://www.easyjet.com/en/
Air Ocean;https://airocean.com.ua/en/
Победа/Pobeda;https://www.flypobeda.ru/
NordStar;https://www.nordstar.ru/
Azimuth (Азимут);https://azimuth.ru/ru
IrAero | ИрАэро;https://iraero.ru/
Ямал (Yamal.aero);https://yamal.aero/
FlyDubai;"https://www.flydubai.com/ru/
"
Ryanair;https://www.ryanair.com/
S7 Airlines;https://www.s7.ru/
Emirates;https://www.emirates.com/ru/russian/
Southwind;https://southwindairlines.com/ru/
TezJet;https://www.flytezjet.com/
China Eastern Airlines;https://ru.ceair.com/
China Southern Airlines;https://www.csair.com/en/
Air Astana;https://www.airastana.com/
